2025-04-18 22:59:08,870 [INFO] Fetching filings for ticker: KO
2025-04-18 23:01:25,948 [INFO] PDF saved to downloads/ko-20220701.pdf
2025-04-18 23:01:28,958 [INFO] Uploaded to R2: https://pub-2c783279b61043e19fbdadd1bee5153a.r2.dev/KO/2022-07-27/ko-20220701.htm/ko-20220701.pdf
2025-04-18 23:01:28,969 [INFO] Processing 10-Q filing from 2022-04-28
2025-04-18 23:01:28,969 [INFO] Requesting PDF for: https://www.sec.gov/Archives/edgar/data/21344/000002134422000016/ko-20220401.htm
2025-04-18 23:01:33,155 [INFO] PDF saved to downloads/ko-20220401.pdf
2025-04-18 23:01:36,639 [INFO] Uploaded to R2: https://pub-2c783279b61043e19fbdadd1bee5153a.r2.dev/KO/2022-04-28/ko-20220401.htm/ko-20220401.pdf
2025-04-18 23:01:36,643 [INFO] Processing 10-K filing from 2022-02-22
2025-04-18 23:01:36,643 [INFO] Requesting PDF for: https://www.sec.gov/Archives/edgar/data/21344/000002134422000009/ko-20211231.htm
2025-04-18 23:01:42,317 [INFO] PDF saved to downloads/ko-20211231.pdf
2025-04-18 23:01:47,320 [INFO] Uploaded to R2: https://pub-2c783279b61043e19fbdadd1bee5153a.r2.dev/KO/2022-02-22/ko-20211231.htm/ko-20211231.pdf
2025-04-18 23:01:47,332 [INFO] Processing 10-Q filing from 2021-10-28
2025-04-18 23:01:47,333 [INFO] Requesting PDF for: https://www.sec.gov/Archives/edgar/data/21344/000002134421000030/ko-20211001.htm
2025-04-18 23:01:51,415 [INFO] PDF saved to downloads/ko-20211001.pdf
2025-04-18 23:02:01,497 [INFO] Uploaded to R2: https://pub-2c783279b61043e19fbdadd1bee5153a.r2.dev/KO/2021-10-28/ko-20211001.htm/ko-20211001.pdf
2025-04-18 23:02:01,506 [INFO] Processing 10-Q filing from 2021-07-26
2025-04-18 23:02:01,507 [INFO] Requesting PDF for: https://www.sec.gov/Archives/edgar/data/21344/000002134421000024/ko-20210702.htm
2025-04-18 23:02:05,233 [INFO] PDF saved to downloads/ko-20210702.pdf
2025-04-18 23:02:07,979 [INFO] Uploaded to R2: https://pub-2c783279b61043e19fbdadd1bee5153a.r2.dev/KO/2021-07-26/ko-20210702.htm/ko-20210702.pdf
2025-04-18 23:02:07,989 [INFO] Processing 10-Q filing from 2021-04-27
2025-04-18 23:02:07,989 [INFO] Requesting PDF for: https://www.sec.gov/Archives/edgar/data/21344/000002134421000014/ko-20210402.htm
2025-04-18 23:02:11,278 [INFO] PDF saved to downloads/ko-20210402.pdf
2025-04-18 23:02:15,221 [INFO] Uploaded to R2: https://pub-2c783279b61043e19fbdadd1bee5153a.r2.dev/KO/2021-04-27/ko-20210402.htm/ko-20210402.pdf
2025-04-18 23:02:15,237 [INFO] Processing 10-K filing from 2021-02-25
2025-04-18 23:02:15,237 [INFO] Requesting PDF for: https://www.sec.gov/Archives/edgar/data/21344/000002134421000008/ko-20201231.htm
2025-04-18 23:02:23,883 [INFO] PDF saved to downloads/ko-20201231.pdf
2025-04-18 23:02:29,948 [INFO] Uploaded to R2: https://pub-2c783279b61043e19fbdadd1bee5153a.r2.dev/KO/2021-02-25/ko-20201231.htm/ko-20201231.pdf
2025-04-18 23:02:29,962 [INFO] Processing 10-Q filing from 2020-10-22
2025-04-18 23:02:29,963 [INFO] Requesting PDF for: https://www.sec.gov/Archives/edgar/data/21344/000002134420000046/ko-20200925.htm
2025-04-18 23:02:32,816 [INFO] PDF saved to downloads/ko-20200925.pdf
2025-04-18 23:02:36,866 [INFO] Uploaded to R2: https://pub-2c783279b61043e19fbdadd1bee5153a.r2.dev/KO/2020-10-22/ko-20200925.htm/ko-20200925.pdf
2025-04-18 23:02:36,876 [INFO] Processing 10-Q filing from 2020-07-22
2025-04-18 23:02:36,877 [INFO] Requesting PDF for: https://www.sec.gov/ix?doc=/Archives/edgar/data/21344/000002134420000041/ko-20200626.htm
2025-04-18 23:02:40,124 [INFO] PDF saved to downloads/ix.pdf
2025-04-18 23:02:45,760 [INFO] Uploaded to R2: https://pub-2c783279b61043e19fbdadd1bee5153a.r2.dev/KO/2020-07-22/ko-20200626.htm/ix.pdf
2025-04-18 23:02:45,775 [INFO] Processing 10-Q filing from 2020-04-24
2025-04-18 23:02:45,775 [INFO] Requesting PDF for: https://www.sec.gov/ix?doc=/Archives/edgar/data/21344/000002134420000014/a2020032710-q.htm
2025-04-18 23:02:48,438 [INFO] PDF saved to downloads/ix.pdf
2025-04-18 23:02:52,120 [INFO] Uploaded to R2: https://pub-2c783279b61043e19fbdadd1bee5153a.r2.dev/KO/2020-04-24/a2020032710-q.htm/ix.pdf
2025-04-18 23:02:52,129 [INFO] Processing 10-K filing from 2020-02-24
2025-04-18 23:02:52,130 [INFO] Requesting PDF for: https://www.sec.gov/ix?doc=/Archives/edgar/data/21344/000002134420000006/a2019123110-k.htm
2025-04-18 23:02:59,873 [INFO] PDF saved to downloads/ix.pdf
2025-04-18 23:03:06,687 [INFO] Uploaded to R2: https://pub-2c783279b61043e19fbdadd1bee5153a.r2.dev/KO/2020-02-24/a2019123110-k.htm/ix.pdf
2025-04-18 23:03:06,697 [INFO] Processing 10-Q filing from 2019-10-24
2025-04-18 23:03:06,698 [INFO] Requesting PDF for: https://www.sec.gov/ix?doc=/Archives/edgar/data/21344/000002134419000042/a2019092710-q.htm
2025-04-18 23:03:09,790 [INFO] PDF saved to downloads/ix.pdf
2025-04-18 23:03:17,403 [INFO] Uploaded to R2: https://pub-2c783279b61043e19fbdadd1bee5153a.r2.dev/KO/2019-10-24/a2019092710-q.htm/ix.pdf
2025-04-18 23:03:17,417 [INFO] Processing 10-Q filing from 2019-07-25
